轮播频道,#genre#
盗源狗死全家
虎牙轮播
亮剑,https://live.ottiptv.cc/huya/30080238
民兵葛二蛋,https://live.ottiptv.cc/huya/11602072
鹿鼎记,https://live.ottiptv.cc/huya/23650774
新鹿鼎记,https://live.ottiptv.cc/huya/11342388
三国演义,https://live.ottiptv.cc/huya/11602081
新三国演义,https://live.ottiptv.cc/huya/11352944
水浒传,https://live.ottiptv.cc/huya/26355860
新水浒传,https://live.ottiptv.cc/huya/11342384
西游记,https://live.ottiptv.cc/huya/20985836
封神榜,https://live.ottiptv.cc/huya/20432237
寻秦记,https://live.ottiptv.cc/huya/30080146
大宋提刑官,https://live.ottiptv.cc/huya/26355856
周星驰电影,https://live.ottiptv.cc/huya/11342412
家有儿女,https://live.ottiptv.cc/huya/11352872
问心,https://live.ottiptv.cc/huya/11352890
你是我的荣耀,https://live.ottiptv.cc/huya/11352920
与凤行,https://live.ottiptv.cc/huya/26355866
我和僵尸有个约会,https://live.ottiptv.cc/huya/21059571
美人心计,https://live.ottiptv.cc/huya/26355837
延禧攻略,https://live.ottiptv.cc/huya/26355864
读心专家,https://live.ottiptv.cc/huya/30590779
如懿传,https://live.ottiptv.cc/huya/29465868
爱情公寓,https://live.ottiptv.cc/huya/11336726
还珠格格,https://live.ottiptv.cc/huya/30080241
创世纪,https://live.ottiptv.cc/huya/29465852
笑傲江湖,https://live.ottiptv.cc/huya/26355790
倚天屠龙记,https://live.ottiptv.cc/huya/11342403
雪山飞狐,https://live.ottiptv.cc/huya/23734176

歪歪轮播
狂飙,https://live.ottiptv.cc/yy/1354936131
插翅难逃,https://live.ottiptv.cc/yy/23402146
新白娘子传奇,https://live.ottiptv.cc/yy/1354490667
康熙微服私访记,https://live.ottiptv.cc/yy/1352811698
射雕英雄传83版,https://live.ottiptv.cc/yy/1354210357
神雕侠侣,https://live.ottiptv.cc/yy/1351762426
天龙八部,https://live.ottiptv.cc/yy/1351814644
隋唐英雄传,https://live.ottiptv.cc/yy/1352475619

咪咕频道,#genre#
盗源狗死全家
CCTV1,http://m.061899.xyz/mg/cctv1
CCTV2,http://m.061899.xyz/mg/cctv2
CCTV3,http://m.061899.xyz/mg/cctv3
CCTV4,http://m.061899.xyz/mg/cctv4
CCTV5,http://m.061899.xyz/mg/cctv5
CCTV5+,http://m.061899.xyz/mg/cctv5p
CCTV6,http://m.061899.xyz/mg/cctv6
CCTV7,http://m.061899.xyz/mg/cctv7
CCTV8,http://m.061899.xyz/mg/cctv8
CCTV9,http://m.061899.xyz/mg/cctv9
CCTV10,http://m.061899.xyz/mg/cctv10
CCTV11,http://m.061899.xyz/mg/cctv11
CCTV12,http://m.061899.xyz/mg/cctv12
CCTV13,http://m.061899.xyz/mg/cctv13
CCTV14,http://m.061899.xyz/mg/cctv14
CCTV15,http://m.061899.xyz/mg/cctv15
CCTV16,http://m.061899.xyz/mg/cctv16
CCTV17,http://m.061899.xyz/mg/cctv17
北京卫视,http://m.061899.xyz/mg/bjws
东方卫视,http://m.061899.xyz/mg/dfws
浙江卫视,http://m.061899.xyz/mg/zjws
江苏卫视,http://m.061899.xyz/mg/jsws
湖南卫视,http://m.061899.xyz/mg/hunws
广东卫视,http://m.061899.xyz/mg/gdws
深圳卫视,http://m.061899.xyz/mg/szws
天津卫视,http://m.061899.xyz/mg/tjws
安徽卫视,http://m.061899.xyz/mg/ahws
山东卫视,http://m.061899.xyz/mg/sdws
河北卫视,http://m.061899.xyz/mg/hbws
河南卫视,http://m.061899.xyz/mg/hnws
江西卫视,http://m.061899.xyz/mg/jxws
四川卫视,http://m.061899.xyz/mg/scws
重庆卫视,http://m.061899.xyz/mg/cqws
东南卫视,http://m.061899.xyz/mg/dnws
海南卫视,http://m.061899.xyz/mg/hinws
青海卫视,http://m.061899.xyz/mg/qhws
陕西卫视,http://m.061899.xyz/mg/sxws
新疆卫视,http://m.061899.xyz/mg/xjws
西藏卫视,http://m.061899.xyz/mg/xzws
兵团卫视,http://m.061899.xyz/mg/btws
吉林卫视,http://m.061899.xyz/mg/jlws
内蒙古卫视,http://m.061899.xyz/mg/nmgws
黑龙江卫视,http://m.061899.xyz/mg/hljws

CCTV1,http://125.94.244.92:7890/608807420
CCTV2,http://125.94.244.92:7890/631780532
CCTV3,http://125.94.244.92:7890/624878271
CCTV4,http://125.94.244.92:7890/631780421
CCTV5,http://125.94.244.92:7890/641886683
CCTV5+,http://125.94.244.92:7890/641886773
CCTV6,http://125.94.244.92:7890/624878396
CCTV7,http://125.94.244.92:7890/673168121
CCTV8,http://125.94.244.92:7890/624878356
CCTV9,http://125.94.244.92:7890/673168140
CCTV10,http://125.94.244.92:7890/624878405
CCTV11,http://125.94.244.92:7890/667987558
CCTV12,http://125.94.244.92:7890/673168185
CCTV13,http://125.94.244.92:7890/608807423
CCTV14,http://125.94.244.92:7890/624878440
CCTV15,http://125.94.244.92:7890/673168223
CCTV17,http://125.94.244.92:7890/673168256
东方卫视,http://125.94.244.92:7890/651632648
江苏卫视,http://125.94.244.92:7890/623899368
广东卫视,http://125.94.244.92:7890/608831231
北京卫视,http://125.94.244.92:7890/630287636
辽宁卫视,http://125.94.244.92:7890/630291707
河北卫视,http://125.94.244.92:7890/962042070
江西卫视,http://125.94.244.92:7890/783847495
河南卫视,http://125.94.244.92:7890/790187291
陕西卫视,http://125.94.244.92:7890/738910838
大湾区卫视,http://125.94.244.92:7890/608917627
湖北卫视,http://125.94.244.92:7890/947472496
吉林卫视,http://125.94.244.92:7890/947472500
青海卫视,http://125.94.244.92:7890/947472506
东南卫视,http://125.94.244.92:7890/849116810
海南卫视,http://125.94.244.92:7890/947472502
海峡卫视,http://125.94.244.92:7890/849119120
农林卫视,http://125.94.244.92:7890/956904896
兵团卫视,http://125.94.244.92:7890/956923145
宁夏卫视,http://125.94.244.92:7890/738910535
重庆卫视,http://125.94.244.92:7890/738910914
三沙卫视,http://125.94.244.92:7890/961023778

CCTV1,https://mgcn.chinacert.cftest5.cn/608807420
CCTV2,https://mgcn.chinacert.cftest5.cn/631780532
CCTV3,https://mgcn.chinacert.cftest5.cn/624878271
CCTV4,https://mgcn.chinacert.cftest5.cn/631780421
CCTV5,https://mgcn.chinacert.cftest5.cn/641886683
CCTV5+,https://mgcn.chinacert.cftest5.cn/641886773
CCTV6,https://mgcn.chinacert.cftest5.cn/624878396
CCTV7,https://mgcn.chinacert.cftest5.cn/673168121
CCTV8,https://mgcn.chinacert.cftest5.cn/624878356
CCTV9,https://mgcn.chinacert.cftest5.cn/673168140
CCTV10,https://mgcn.chinacert.cftest5.cn/624878405
CCTV11,https://mgcn.chinacert.cftest5.cn/667987558
CCTV12,https://mgcn.chinacert.cftest5.cn/673168185
CCTV13,https://mgcn.chinacert.cftest5.cn/608807423
CCTV14,https://mgcn.chinacert.cftest5.cn/624878440
CCTV15,https://mgcn.chinacert.cftest5.cn/673168223
CCTV17,https://mgcn.chinacert.cftest5.cn/673168256
东方卫视,https://mgcn.chinacert.cftest5.cn/651632648
江苏卫视,https://mgcn.chinacert.cftest5.cn/623899368
广东卫视,https://mgcn.chinacert.cftest5.cn/608831231
北京卫视,https://mgcn.chinacert.cftest5.cn/630287636
辽宁卫视,https://mgcn.chinacert.cftest5.cn/630291707
河北卫视,https://mgcn.chinacert.cftest5.cn/962042070
江西卫视,https://mgcn.chinacert.cftest5.cn/783847495
河南卫视,https://mgcn.chinacert.cftest5.cn/790187291
陕西卫视,https://mgcn.chinacert.cftest5.cn/738910838
大湾区卫视,https://mgcn.chinacert.cftest5.cn/608917627
湖北卫视,https://mgcn.chinacert.cftest5.cn/947472496
吉林卫视,https://mgcn.chinacert.cftest5.cn/947472500
青海卫视,https://mgcn.chinacert.cftest5.cn/947472506
东南卫视,https://mgcn.chinacert.cftest5.cn/849116810
海南卫视,https://mgcn.chinacert.cftest5.cn/947472502
海峡卫视,https://mgcn.chinacert.cftest5.cn/849119120
农林卫视,https://mgcn.chinacert.cftest5.cn/956904896
兵团卫视,https://mgcn.chinacert.cftest5.cn/956923145
宁夏卫视,https://mgcn.chinacert.cftest5.cn/738910535
重庆卫视,https://mgcn.chinacert.cftest5.cn/738910914
三沙卫视,https://mgcn.chinacert.cftest5.cn/961023778

CCTV1,http://go.bkpcp.top/mg/cctv1 
CCTV2,http://go.bkpcp.top/mg/cctv2 
CCTV3,http://go.bkpcp.top/mg/cctv3 
CCTV4,http://go.bkpcp.top/mg/cctv4 
CCTV5,http://go.bkpcp.top/mg/cctv5 
CCTV5+,http://go.bkpcp.top/mg/cctv5p 
CCTV6,http://go.bkpcp.top/mg/cctv6 
CCTV7,http://go.bkpcp.top/mg/cctv7 
CCTV8,http://go.bkpcp.top/mg/cctv8 
CCTV9,http://go.bkpcp.top/mg/cctv9 
CCTV10,http://go.bkpcp.top/mg/cctv10 
CCTV11,http://go.bkpcp.top/mg/cctv11 
CCTV12,http://go.bkpcp.top/mg/cctv12 
CCTV13,http://go.bkpcp.top/mg/cctv13 
CCTV14,http://go.bkpcp.top/mg/cctv14 
CCTV15,http://go.bkpcp.top/mg/cctv15 
CCTV16,http://go.bkpcp.top/mg/cctv16 
CCTV17,http://go.bkpcp.top/mg/cctv17 
北京卫视,http://go.bkpcp.top/mg/bjws 
东方卫视,http://go.bkpcp.top/mg/dfws 
江苏卫视,http://go.bkpcp.top/mg/jsws 
湖南卫视,http://go.bkpcp.top/mg/hunws 
广东卫视,http://go.bkpcp.top/mg/gdws 
深圳卫视,http://go.bkpcp.top/mg/szws 
山东卫视,http://go.bkpcp.top/mg/sdws 
河南卫视,http://go.bkpcp.top/mg/hnws 
江西卫视,http://go.bkpcp.top/mg/jxws 
湖北卫视,http://go.bkpcp.top/mg/hubws 
海南卫视,http://go.bkpcp.top/mg/hinws 
陕西卫视,http://go.bkpcp.top/mg/sxws 
黑龙江卫视,http://go.bkpcp.top/mg/hljws

央视频道,#genre#
盗源狗死全家
CCTV1,http://183.129.255.66:8480/hls/1/index.m3u8
CCTV2,http://183.129.255.66:8480/hls/2/index.m3u8
CCTV3,http://183.129.255.66:8480/hls/3/index.m3u8
CCTV4,http://183.129.255.66:8480/hls/4/index.m3u8
CCTV5,http://183.129.255.66:8480/hls/5/index.m3u8
CCTV5+,http://183.129.255.66:8480/hls/6/index.m3u8
CCTV6,http://183.129.255.66:8480/hls/7/index.m3u8
CCTV7,http://183.129.255.66:8480/hls/8/index.m3u8
CCTV8,http://183.129.255.66:8480/hls/9/index.m3u8
CCTV9,http://183.129.255.66:8480/hls/10/index.m3u8
CCTV10,http://183.129.255.66:8480/hls/11/index.m3u8
CCTV11,http://183.129.255.66:8480/hls/12/index.m3u8
CCTV12,http://183.129.255.66:8480/hls/13/index.m3u8
CCTV13,http://183.129.255.66:8480/hls/14/index.m3u8
CCTV14,http://183.129.255.66:8480/hls/15/index.m3u8
CCTV15,http://183.129.255.66:8480/hls/16/index.m3u8
CCTV16,http://183.129.255.66:8480/hls/17/index.m3u8
CCTV17,http://183.129.255.66:8480/hls/18/index.m3u8

CCTV1,http://223.95.198.3:8000/hls/1/index.m3u8
CCTV2,http://223.95.198.3:8000/hls/2/index.m3u8
